"Temperature (K)","Solid Volume Fraction of h2o","Volume (m^3)","X (m)","Y (m)","Z (m)"
273,0.5,2.4999999368446879e-05,0.28249999999999997,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.28499999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.28749999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.28999999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.29249999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.29499999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.29749999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.29999999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.30249999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.30499999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.3075,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.31,0.05000000074505806,0
273,0.5,2.470703111612238e-05,0.3125,0.05000000074505806,0
273,0.5,2.5292967620771378e-05,0.315,0.05000000074505806,0
273,0.5,2.5292967620771378e-05,0.3175,0.05000000074505806,0
273,0.5,2.5292967620771378e-05,0.32000000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.32250000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.32500000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.32750000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.33000000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.33250000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.33500000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.33750000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.34000000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.34250000000000003,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.34499999999999997,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.34749999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.34999999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.35249999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.35499999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.35749999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.35999999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.36249999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.36499999999999999,0.05000000074505806,0
273,0.5,2.4365233912249096e-05,0.36749999999999999,0.05000000074505806,0
273,0.5,2.5634764824644662e-05,0.37,0.05000000074505806,0
273,0.5,2.5634764824644662e-05,0.3725,0.05000000074505806,0
273,0.5,2.5634764824644662e-05,0.375,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.3775,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.38,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.38250000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.38500000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.38750000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.39000000000000001,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.39250000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.39500000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.39750000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.40000000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.40250000000000002,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.40500000000000003,0.05000000074505806,0
273,0.5,2.5781249860301614e-05,0.40749999999999997,0.05000000074505806,0
273,0.5,2.5781249860301614e-05,0.40999999999999998,0.05000000074505806,0
273,0.5,2.4218748876592144e-05,0.41249999999999998,0.05000000074505806,0
273,0.5,2.4218748876592144e-05,0.41499999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.41749999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.41999999999999998,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.42249999999999999,0.05000000074505806,0
273,0.5,2.4999999368446879e-05,0.42499999999999999,0.05000000074505806,0
