"RMS of Temperature (K)","Temperature (K)","Total Energy (J/kg)","Energy Residual (W)","L2 Error (K)","X (m)","Y (m)","Z (m)"
19.61722457953838,7.949458122253418,7178.360595703125,-7.62939453125e-05,0.57043162875313058,0.8512040214862564,0.84212965082775326,0
18.224312731048965,3.3441473841667175,3019.7651062011719,-7.62939453125e-06,0.06200505691080771,0.9002451839143355,0.89887168249797322,0
17.894142439280458,0,0,-7.62939453125e-06,0,0.99999999999999989,0.9500000001862644,0
17.916765536625764,0.82469402998685837,744.69871139526367,-1.1444091796875e-05,0.0041584481728809131,0.94999999925494172,0.94999999972060312,0
90.335243883573085,88.646539688110352,80047.82421875,-0.0030517578125,15.28761085173835,0.049053542137002124,0.10034477693171791,0
110.71470088843174,109.74614334106445,99100.76953125,0.0015869140625,-4.7052754828740007,0.10196024677611162,0.15082800832493848,0
147.1290354986788,146.50824356079102,132296.943359375,0.0001220703125,3.8872700542912924,0.15754422481010688,0.15046457709353267,0
221.38142618697748,221.01839828491211,199579.61328125,0.0006103515625,4.7656841443836129,0.25897176689984241,0.098731383982849696,0
172.4764397101664,171.9146614074707,155238.9375,-0.00146484375,1.1241332184097104,0.21468069101332077,0.14968492670114969,0
200.12294171051084,199.57209014892578,180213.59375,-0.00146484375,-1.5578310325574662,0.32480200052268632,0.15088790185951831,0
185.56739619922985,184.85568618774414,166924.6875,0.001220703125,3.0450964985671476,0.40120211776952242,0.19485925264581416,0
184.42931657300667,183.68397903442383,165866.6328125,0.0006103515625,-1.4468843929079185,0.48812451514506427,0.20273787489942557,0
202.30530611274403,201.70478057861328,182139.4140625,0.002197265625,-9.1545713561909707,0.56964142298287568,0.16682031604550063,0
51.169486130568238,48.22128963470459,43543.8251953125,0.0003662109375,2.3952278740098905,0.79141942424891587,0.49804403024494526,0
61.288006643806106,58.918891906738281,53203.759765625,0.000946044921875,3.3423845471968292,0.786766877567875,0.44166479830667638,0
30.61733865476781,24.979048728942871,22556.0810546875,0.0003662109375,0.63986979654702125,0.84151945919186244,0.60936932180138093,0
43.568085337938584,39.976476669311523,36098.7587890625,-0.000213623046875,1.1581509443757234,0.78400868212333252,0.5540386489513105,0
