"Centroid: Magnitude","cen_X","cen_Y","cen_Z","X (m)","Y (m)","Z (m)"
1.1075028217165668,0.66249999993888176,0.88750000010768404,0,0.66249999993888176,0.88750000010768404,0
1.1029789206918732,0.68749999966239539,0.86249999997380633,0,0.68749999966239539,0.86249999997380633,0
1.0995737807273738,0.71249999955471122,0.8374999999388818,0,0.71249999955471122,0.8374999999388818,0
1.0972978174038415,0.73750000032305219,0.81249999975552756,0,0.73750000032305219,0.81249999975552756,0
1.0961580637039796,0.76250000000291007,0.78750000039290158,0,0.76250000000291007,0.78750000039290158,0
1.0961580635336565,0.78750000002619325,0.76250000013678787,0,0.78750000002619325,0.76250000013678787,0
1.0972978172377403,0.81250000024447211,0.7374999995372491,0,0.81250000024447211,0.7374999995372491,0
1.0995737808067787,0.83749999964202282,0.7125000000261934,0,0.83749999964202282,0.7125000000261934,0
1.1029789209732204,0.86250000035215635,0.68749999963911246,0,0.86250000035215635,0.68749999963911246,0
1.1075028219797489,0.88750000003201412,0.66250000048021318,0,0.88750000003201412,0.66250000048021318,0
1.1131318432327137,0.91250000011350485,0.63750000016589192,0,0.91250000011350485,0.63750000016589192,0
1.1198493202264173,0.93750000059371807,0.61249999910069164,0,0.93750000059371807,0.61249999910069164,0
1.1276358009624992,0.96249999972933431,0.58750000011350501,0,0.96249999972933431,0.58750000011350501,0
1.1364693132453105,0.98749999944993738,0.562500000919681,0,0.98749999944993738,0.562500000919681,0
1.1243053409721495,0.53749999986903252,0.98749999993888171,0,0.53749999986903252,0.98749999993888171,0
1.1148150065475213,0.56250000003492429,0.96249999936844677,0,0.56250000003492429,0.96249999936844677,0
1.1063735806607391,0.58749999948486198,0.93750000031432101,0,0.58749999948486198,0.93750000031432101,0
1.0990052321634391,0.61249999983410774,0.91250000028812761,0,0.61249999983410774,0.91250000028812761,0
1.0927316688715631,0.63749999997962692,0.88750000010186336,0,0.63749999997962692,0.88750000010186336,0
1.0875718366558282,0.66249999995634412,0.86249999996798576,0,0.66249999995634412,0.86249999996798576,0
1.0835416465904881,0.6874999994528479,0.83750000038708072,0,0.6874999994528479,0.83750000038708072,0
1.0806537371511802,0.71250000003783476,0.81249999973224463,0,0.71250000003783476,0.81249999973224463,0
1.0789172815325345,0.7374999998632118,0.78750000037543932,0,0.7374999998632118,0.78750000037543932,0
1.0783378414082663,0.76250000000873086,0.76250000013096708,0,0.76250000000873086,0.76250000013096708,0
1.078917281381879,0.78750000004365561,0.73749999999708959,0,0.78750000004365561,0.73749999999708959,0
1.0806537372275991,0.81250000026775515,0.71249999954306986,0,0.81250000026775515,0.71249999954306986,0
1.0835416465747081,0.83749999965948507,0.68750000031432135,0,0.83749999965948507,0.68750000031432135,0
1.0875718369042982,0.86249999989231574,0.66250000046275082,0,0.86249999989231574,0.66250000046275082,0
