"Temperature (K)","Solid Volume Fraction of h2o","X (m)","Y (m)","Z (m)"
273,0.5,0.20599999999999999,0.05000000074505806,0
273,0.5,0.20699999999999999,0.05000000074505806,0
273,0.5,0.20799999999999999,0.05000000074505806,0
273,0.5,0.20899999999999999,0.05000000074505806,0
273,0.5,0.20999999999999999,0.05000000074505806,0
273,0.5,0.21099999999999999,0.05000000074505806,0
273,0.5,0.21199999999999999,0.05000000074505806,0
273,0.5,0.21299999999999999,0.05000000074505806,0
273,0.5,0.214,0.05000000074505806,0
273,0.5,0.215,0.05000000074505806,0
273,0.5,0.216,0.05000000074505806,0
273,0.5,0.217,0.05000000074505806,0
273,0.5,0.218,0.05000000074505806,0
273,0.5,0.219,0.05000000074505806,0
273,0.5,0.22,0.05000000074505806,0
273,0.5,0.221,0.05000000074505806,0
273,0.5,0.222,0.05000000074505806,0
273,0.5,0.223,0.05000000074505806,0
273,0.5,0.224,0.05000000074505806,0
273,0.5,0.22500000000000001,0.05000000074505806,0
273,0.5,0.22600000000000001,0.05000000074505806,0
273,0.5,0.22700000000000001,0.05000000074505806,0
273,0.5,0.22800000000000001,0.05000000074505806,0
273,0.5,0.22900000000000001,0.05000000074505806,0
273,0.5,0.23000000000000001,0.05000000074505806,0
273,0.5,0.23100000000000001,0.05000000074505806,0
273,0.5,0.23200000000000001,0.05000000074505806,0
273,0.5,0.23300000000000001,0.05000000074505806,0
273,0.5,0.23400000000000001,0.05000000074505806,0
273,0.5,0.23499999999999999,0.05000000074505806,0
273,0.5,0.23599999999999999,0.05000000074505806,0
273,0.5,0.23699999999999999,0.05000000074505806,0
273,0.5,0.23799999999999999,0.05000000074505806,0
273,0.5,0.23899999999999999,0.05000000074505806,0
273,0.5,0.23999999999999999,0.05000000074505806,0
273,0.5,0.24099999999999999,0.05000000074505806,0
273,0.5,0.24199999999999999,0.05000000074505806,0
273,0.5,0.24299999999999999,0.05000000074505806,0
273,0.5,0.24399999999999999,0.05000000074505806,0
273,0.5,0.245,0.05000000074505806,0
273,0.5,0.246,0.05000000074505806,0
273,0.5,0.247,0.05000000074505806,0
273,0.5,0.248,0.05000000074505806,0
273,0.5,0.249,0.05000000074505806,0
273,0.5,0.25,0.05000000074505806,0
273,0.5,0.251,0.05000000074505806,0
273,0.5,0.252,0.05000000074505806,0
273,0.5,0.253,0.05000000074505806,0
273,0.5,0.254,0.05000000074505806,0
273,0.5,0.255,0.05000000074505806,0
273,0.5,0.25600000000000001,0.05000000074505806,0
273,0.5,0.25700000000000001,0.05000000074505806,0
273,0.5,0.25800000000000001,0.05000000074505806,0
273,0.5,0.25900000000000001,0.05000000074505806,0
273,0.5,0.26000000000000001,0.05000000074505806,0
273,0.5,0.26100000000000001,0.05000000074505806,0
273,0.5,0.26200000000000001,0.05000000074505806,0
273,0.5,0.26300000000000001,0.05000000074505806,0
273,0.5,0.26400000000000001,0.05000000074505806,0
273,0.5,0.26500000000000001,0.05000000074505806,0
273,0.5,0.26600000000000001,0.05000000074505806,0
273,0.5,0.26700000000000002,0.05000000074505806,0
273,0.5,0.26800000000000002,0.05000000074505806,0
273,0.5,0.26900000000000002,0.05000000074505806,0
273,0.5,0.27000000000000002,0.05000000074505806,0
273,0.5,0.27100000000000002,0.05000000074505806,0
273,0.5,0.27200000000000002,0.05000000074505806,0
273,0.5,0.27300000000000002,0.05000000074505806,0
273,0.5,0.27400000000000002,0.05000000074505806,0
273,0.5,0.27500000000000002,0.05000000074505806,0
273,0.5,0.27600000000000002,0.05000000074505806,0
273,0.5,0.27700000000000002,0.05000000074505806,0
273,0.5,0.27800000000000002,0.05000000074505806,0
273,0.5,0.27900000000000003,0.05000000074505806,0
273,0.5,0.28000000000000003,0.05000000074505806,0
273,0.5,0.28100000000000003,0.05000000074505806,0
273,0.5,0.28199999999999997,0.05000000074505806,0
273,0.5,0.28299999999999997,0.05000000074505806,0
273,0.5,0.28399999999999997,0.05000000074505806,0
273,0.5,0.28499999999999998,0.05000000074505806,0
273,0.5,0.28599999999999998,0.05000000074505806,0
273,0.5,0.28699999999999998,0.05000000074505806,0
273,0.5,0.28799999999999998,0.05000000074505806,0
273,0.5,0.28899999999999998,0.05000000074505806,0
273,0.5,0.28999999999999998,0.05000000074505806,0
273,0.5,0.29099999999999998,0.05000000074505806,0
273,0.5,0.29199999999999998,0.05000000074505806,0
273,0.5,0.29299999999999998,0.05000000074505806,0
273,0.5,0.29399999999999998,0.05000000074505806,0
273,0.5,0.29499999999999998,0.05000000074505806,0
273,0.5,0.29599999999999999,0.05000000074505806,0
273,0.5,0.29699999999999999,0.05000000074505806,0
273,0.5,0.29799999999999999,0.05000000074505806,0
273,0.5,0.29899999999999999,0.05000000074505806,0
