"Temperature (K)","steady_table_vals","L_inf (K)","L2_err","Total Energy (J/kg)","Energy Residual (W)","Volume (m^3)","X (m)","Y (m)","Z (m)"
4.5319886207580566,4.5281996937097002,0.0037889270483564275,1.4355968177766949e-05,4092.3857421875,-6.103515625e-05,0.00062499998603016138,0.96250000012514625,0.68749999996507538,0
1.6805788278579712,1.6791289468936299,0.001449880964341288,2.1021548107592233e-06,1517.5626220703125,0,0.00062500004423782229,0.98749999989231552,0.66250000055006242,0
1.1798536777496338,1.17917745979889,0.00067621795074379598,4.5727071690813888e-07,1065.4078369140625,0,0.00062499998603016138,0.63749999995634399,0.98749999996216486,0
3.409273624420166,3.4072727575915698,0.0020008668285962372,4.0034680657767643e-06,3078.573974609375,7.2479248046875e-05,0.00062499998603016138,0.66249999988649488,0.96249999990395718,0
5.4402484893798828,5.4369804681685601,0.0032680212113227469,1.0679962637655394e-05,4912.54443359375,-0.000244140625,0.00062499998603016138,0.68750000005820722,0.93749999970896158,0
7.2426261901855469,7.2381713142286896,0.0044548759568572294,1.9845919790984616e-05,6540.09130859375,9.1552734375e-05,0.00062500004423782229,0.71249999950232423,0.91250000035797685,0
8.7853984832763672,8.77986118054503,0.0055373027313372347,3.0661721538474798e-05,7933.21484375,-0.000213623046875,0.00062500004423782229,0.73749999983992875,0.8875000001251464,0
10.036362648010254,10.0298723749701,0.0064902730401534825,4.2123644135743126e-05,9062.8359375,-0.0005035400390625,0.00062499998603016138,0.76249999998544782,0.8624999999912687,0
10.961786270141602,10.9545007272016,0.0072855429400018323,5.3079135930610542e-05,9898.4931640625,1.52587890625e-05,0.00062499998603016138,0.78749999997380626,0.83749999999126867,0
11.526082038879395,11.5181909009716,0.0078911379077943877,6.2270057479829583e-05,10408.0517578125,0.00018310546875,0.00062499998603016138,0.81250000017462254,0.81250000005820755,0
11.691492080688477,11.683226122270399,0.0082659584180770906,6.8326068569379513e-05,10557.4169921875,-3.0517578125e-05,0.00062500004423782229,0.83749999958963572,0.78750000044528845,0
11.41779899597168,11.4094417553329,0.0083572406387801834,6.9843471094479007e-05,10310.2724609375,-0.000244140625,0.00062500004423782229,0.86249999986903259,0.76250000015425035,0
10.662076950073242,10.6539793601497,0.0080975899235422588,6.5570962569853127e-05,9627.85546875,6.103515625e-05,0.00062499998603016138,0.88750000001455154,0.73750000002037264,0
9.3785104751586914,9.3711065350704104,0.0074039400882810469,5.4818328830855153e-05,8468.794921875,-0.00030517578125,0.00062499998603016138,0.91250000006111787,0.71250000007858039,0
7.5183167457580566,7.5121418760254803,0.0061748697325763047,3.8129016214286966e-05,6789.0400390625,-0.00018310546875,0.00062499998603016138,0.93750000005820733,0.6874999997089617,0
5.0298385620117188,5.0255420311254602,0.0042965308862585871,1.8460177656574001e-05,4541.9443359375,0.00018310546875,0.00062499998603016138,0.9624999996769471,0.66250000053260005,0
1.8588787317276001,1.8572308954982499,0.0016478362293501636,2.7153642387589652e-06,1678.5675048828125,-6.103515625e-05,0.00062500004423782229,0.98749999989813642,0.63750000018335418,0
1.2183712720870972,1.2176899691109799,0.00068130297611723734,4.6417374526620487e-07,1100.189208984375,0,0.00062500004423782229,0.61249999981664571,0.98749999995634408,0
3.5468013286590576,3.5447768302148801,0.0020244984441775138,4.0985939504771738e-06,3202.76171875,-4.76837158203125e-05,0.00062499998603016138,0.63749999996216478,0.96249999988649482,0
5.7054533958435059,5.7021301846966699,0.0033232111468359804,1.1043732326454912e-05,5152.0244140625,-0.000247955322265625,0.00062499998603016138,0.66249999990395703,0.93750000038417036,0
7.6634173393249512,7.6588585852780096,0.0045587540469416155,2.0782238460506558e-05,6920.06591796875,0.00017547607421875,0.00062499998603016138,0.68750000008149048,0.91249999987485331,0
9.388920783996582,9.3832103481037201,0.0057104358928619092,3.2609078086485593e-05,8478.1953125,-1.52587890625e-05,0.00062500004423782229,0.7124999995197866,0.88750000011932562,0
10.848984718322754,10.842227050869701,0.0067576674530531733,4.5666069406054159e-05,9796.6328125,0.0004425048828125,0.00062500004423782229,0.73749999984574954,0.86249999998544791,0
12.009074211120605,12.0013949311363,0.0076792799843055093,5.8971341077355224e-05,10844.1943359375,0.00048828125,0.00062499998603016138,0.76249999999126861,0.83749999997380642,0
12.832745552062988,12.8242962804851,0.0084492715778878846,7.1390190196904022e-05,11587.96875,-0.000396728515625,0.00062499998603016138,0.78750000045692992,0.81249999956926311,0
13.281294822692871,13.272262490444399,0.009032332248471775,8.1583025846783191e-05,11993.0087890625,-0.00018310546875,0.00062499998603016138,0.8125000001979058,0.7874999999621648,0
13.313419342041016,13.304034567546401,0.0093847744946149447,8.8073992314775186e-05,12022.017578125,-0.000152587890625,0.00062500004423782229,0.83749999960709809,0.76250000014842945,0
