X,Y,Temperature (K)
0.95,0.33,22.410198517915045
0.95,0.38,18.54837237925164
0.95,0.43,15.469052663952725
0.95,0.48,12.953966622108599
0.95,0.52,10.860854150346121
0.95,0.57,9.091987622643007
0.95,0.62,7.577043295898495
0.95,0.67,6.263266625446209
0.95,0.71,5.109560029388031
0.95,0.76,4.082778080286608
0.95,0.81,3.155310942852377
0.95,0.86,2.3034411934549377
0.95,0.9,1.5061742395980013
0.95,0.95,0.7443611855761321
0.95,1.0,0.0
1.0,0.0,300.0
1.0,0.05,0.0
1.0,0.1,0.0
1.0,0.14,0.0
1.0,0.19,0.0
1.0,0.24,0.0
1.0,0.29,0.0
1.0,0.33,0.0
1.0,0.38,0.0
1.0,0.43,0.0
1.0,0.48,0.0
1.0,0.52,0.0
1.0,0.57,0.0
1.0,0.62,0.0
1.0,0.67,0.0
1.0,0.71,0.0
1.0,0.76,0.0
1.0,0.81,0.0
1.0,0.86,0.0
1.0,0.9,0.0
1.0,0.95,0.0
1.0,1.0,0.0
